action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,1,0,0.25,19.98,2
Bets,0,1,0,1.75,43.79,2
Checks,0,0,0,1.75,72.53,2
Calls,0,1,1,2.25,72.03,2
Checks,0,0,0,8.25,66.88,2
Calls,0,1,1,10.25,64.88,2
Bets,0,1,0,8.25,14.0,2
Bets,0,1,0,3.75,58.129999999999995,2
Checks,0,0,0,3.75,24.1,2
Calls,0,1,1,8.25,19.6,2
Checks,0,1,0,0.75,88.69,3
Checks,0,2,0,0.75,55.83,3
Checks,0,0,0,0.75,33.7,3
Folds,0,0,1,1.25,57.4,2
Bets,0,0,0,0.25,10.55,2
Calls,0,1,1,2.75,114.02,3
Bets,0,1,0,2.25,12.83,3
Checks,0,0,0,2.25,18.5,3
Calls,0,2,1,3.25,18.0,3
Bets,0,1,0,1.75,115.77,2
Checks,0,0,0,1.75,11.08,2
Folds,0,1,1,4.25,11.08,2
Bets,0,1,0,7.0,60.349999999999994,2
Calls,0,1,2,21.25,56.099999999999994,2
Checks,0,0,0,7.0,9.75,2
All-In,0,1,1,12.0,0.5,2
Checks,0,1,0,1.25,55.6,2
Checks,0,0,0,1.25,24.2,2
Checks,0,0,0,0.5,29.13,2
Folds,0,2,1,2.0,29.13,2
Bets,0,2,0,0.5,18.5,2
Checks,0,1,0,0.5,44.93,2
Calls,1,2,1,2.0,43.43,1
Bets,0,1,0,1.0,18.5,2
Folds,1,1,2,2.5,18.5,1
Checks,0,0,0,1.0,91.9,2
Folds,0,1,2,2.5,91.9,2
Raises,0,1,1,1.5,38.63,2
Checks,0,0,0,3.75,49.76,2
Checks,0,1,0,3.75,101.79,2
Checks,0,1,0,0.25,97.9,2
Checks,0,0,0,0.25,34.58,2
Bets,0,0,0,0.25,37.22,2
Calls,0,0,1,0.75,49.01,2
Calls,0,0,1,14.25,24.47,2
Bets,0,0,0,8.25,95.34,2
Checks,0,1,0,3.5,90.85,2
Checks,0,0,0,3.5,38.28,2
Checks,0,0,0,8.25,49.16,2
Checks,0,1,0,8.25,120.09,2
All-In,0,0,0,17.5,0.5,1
Folds,0,0,1,31.05,35.4,1
Checks,0,0,0,0.5,27.13,2
Checks,0,1,0,0.5,42.23,2
Bets,0,0,0,0.5,13.22,2
Calls,0,0,1,1.0,56.46,2
Bets,0,0,0,1.25,45.4,2
Folds,0,0,2,5.25,45.4,2
Raises,0,0,1,1.75,32.25,2
Checks,0,0,0,0.25,105.28,3
Checks,0,1,0,0.25,99.0,3
Bets,0,1,0,2.25,38.5,2
Checks,0,0,0,2.25,45.3,2
Calls,0,1,1,4.25,43.3,2
Bets,0,1,0,12.75,30.15,2
Checks,0,0,0,12.75,36.8,2
Folds,0,1,1,20.75,36.8,2
Checks,0,1,0,2.5,15.25,1
Checks,0,0,0,2.5,95.15,1
Bets,0,2,0,0.25,19.5,3
Checks,0,1,0,0.25,19.1,3
Folds,0,3,1,1.25,19.1,3
Checks,0,0,0,0.25,33.9,3
Calls,0,2,1,0.75,33.4,3
Bets,0,0,0,3.25,45.9,2
Calls,0,0,1,3.75,17.0,2
Bets,0,1,0,0.75,53.7,3
Calls,0,1,1,2.0,43.4,3
Checks,0,0,0,0.75,21.45,3
Folds,0,2,1,3.25,21.45,3
Checks,0,0,0,0.25,104.15,2
Calls,0,1,1,0.75,103.65,2
Bets,0,1,0,0.25,19.5,2
Bets,0,0,0,0.25,15.15,2
Folds,0,0,1,0.75,12.97,2
Bets,0,1,0,1.25,16.05,2
Checks,0,0,0,1.25,15.8,2
Folds,0,1,1,1.75,15.8,2
Bets,0,0,0,4.25,15.2,2
Calls,0,0,1,5.25,9.72,2
Bets,0,0,0,1.75,13.95,2
Folds,0,0,1,2.25,14.62,2
Bets,0,0,0,3.75,17.0,2
Folds,0,0,1,6.25,12.62,2
Checks,0,1,0,0.5,37.3,2
Checks,0,0,0,0.5,49.97,2
Checks,0,0,0,0.25,240.66,2
Checks,0,1,0,0.25,19.66,2
Checks,0,0,0,1.25,241.61,2
Calls,0,1,1,1.75,241.11,2
Bets,0,1,0,1.25,17.91,2
Checks,0,1,0,0.25,57.17,2
Checks,0,0,0,0.25,21.26,2
Checks,0,0,0,0.25,236.86,2
Checks,0,1,0,0.25,24.31,2
Checks,0,1,0,0.25,58.42,2
Checks,0,0,0,0.25,21.46,2
Bets,0,1,0,7.0,43.71,2
Checks,0,0,0,7.0,98.3,2
Folds,0,1,1,11.5,98.3,2
Checks,0,0,0,0.25,51.1,2
Folds,0,1,1,1.25,51.1,2
Bets,0,1,0,0.25,35.5,2
Calls,0,0,1,5.25,103.22,2
Bets,0,0,0,2.25,32.7,2
Bets,0,0,0,5.0,16.75,2
Calls,0,0,1,6.0,153.88,2
