action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Calls,0,0,3,31.22,106.47999999999999,2
Checks,0,0,0,1.25,48.5,2
Folds,0,1,1,1.75,48.5,2
Bets,0,1,0,1.25,24.15,2
Bets,0,1,0,2.25,43.75,2
Checks,0,0,0,2.25,25.3,2
Calls,0,1,1,5.25,22.3,2
Checks,0,0,0,8.25,70.3,2
Raises,0,1,1,13.25,46.3,2
Bets,0,1,0,8.25,10.25,2
All-In,0,1,2,37.25,0.25,2
Checks,0,0,0,2.25,55.3,2
Checks,0,1,0,2.25,35.75,2
Calls,0,0,1,8.25,51.9,2
Bets,0,0,0,5.25,30.0,2
Bets,0,1,0,2.25,59.4,2
Checks,0,0,0,2.25,29.0,2
Folds,0,1,1,4.25,29.0,2
Checks,0,0,0,2.25,63.0,2
Folds,0,1,1,5.25,63.0,2
Bets,0,1,0,2.25,24.25,2
Checks,0,0,0,2.25,61.25,2
Checks,0,1,0,2.25,28.85,2
Bets,0,1,0,2.25,59.35,2
Calls,0,1,2,11.25,56.35,2
Checks,0,0,0,2.25,27.6,2
Raises,0,1,1,5.25,21.6,2
Bets,0,0,0,0.25,55.1,2
Calls,0,0,2,3.25,54.1,2
Raises,0,0,1,1.25,33.35,2
Checks,0,1,0,2.25,47.35,2
Checks,0,0,0,2.25,41.6,2
Checks,0,0,0,0.25,49.95,2
Checks,0,1,0,0.25,40.85,2
Checks,0,1,0,2.25,48.2,2
Checks,0,0,0,2.25,40.55,2
Checks,0,0,0,0.25,39.45,2
Checks,0,1,0,0.25,50.8,2
Checks,0,0,0,1.25,39.9,2
Folds,0,1,1,1.75,39.9,2
Bets,0,1,0,1.25,48.8,2
Bets,0,1,0,2.25,36.15,2
Raises,0,1,2,8.25,25.15,2
Checks,0,0,0,2.25,49.95,2
Raises,0,1,1,4.25,45.95,2
Folds,0,1,3,19.25,45.95,2
Bets,0,1,0,2.25,61.400000000000006,2
Checks,0,0,0,2.25,44.2,2
Folds,0,1,1,4.25,44.2,2
Checks,0,1,0,2.25,65.0,2
Checks,0,0,0,2.25,42.45,2
Checks,0,0,0,2.25,66.6,2
Checks,0,1,0,2.25,40.7,2
Bets,0,0,0,2.25,64.7,2
Raises,0,0,2,14.25,25.700000000000003,2
Raises,0,0,1,5.25,30.450000000000003,2
All-In,0,0,3,53.25,0.25000000000000355,2
Checks,0,0,0,2.25,99.0,2
Calls,0,1,1,5.25,96.0,2
Bets,0,1,0,2.25,104.65,2
Bets,0,1,0,0.25,89.0,2
Calls,0,1,2,6.25,85.0,2
Checks,0,0,0,0.25,118.15,2
Raises,0,1,1,1.25,113.15,2
Checks,0,1,0,2.25,83.75,2
Checks,0,0,0,2.25,121.9,2
Checks,0,0,0,2.25,82.5,2
Checks,0,1,0,2.25,123.0,2
Checks,0,1,0,8.25,80.6,2
